|Título apartamento|Preço do apartamento|Quantidade de quarto|Area do apartamento|Taxa do condomínio|Vagas de garagem|Endereco do apartamento|Quantidade de suítes|Quantidade de banheiro
136|Apartamento para venda Jeronimo Costa, 87m², 3 quartos em Candelária - Natal - RN|R$ 480.000|3 quartos|87m²|R$ 481|1 vaga|Natal, Candelária | |1
137|Apartamento para venda com 125 m2 c/ 3 quartos em Tirol - Natal - Rio Grande do Norte|R$ 280.000|3 quartos|125m²|R$ 1.200|1 vaga|Natal, Tirol | |1
138|Apartamento para venda tem 56 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 255.000|2 quartos|56m²|R$ 280|1 vaga|Natal, Ponta Negra | |1
139|Apartamento para venda possui 86 metros quadrados com 3 quartos em Neópolis - Natal - RN|R$ 220.000|3 quartos|86m²|R$ 0|1 vaga|Natal, Neópolis | |1
140|Apartamento para venda possui 170 metros quadrados com 4 quartos em Alecrim - Natal - RN|R$ 1.450.000|4 quartos|170m²|R$ 780|4 vagas|Natal, Alecrim | |4
141|Apartamento para venda tem 109 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 435.000|3 quartos|109m²|R$ 750|2 vagas|Natal, Lagoa Nova | |2
142|Apartamento para venda possui 220 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 670.000|4 quartos|220m²|R$ 1.450|2 vagas|Natal, Tirol | |2
143|Apartamento para venda com 56 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 315.000|2 quartos|56m²|R$ 680|1 vaga|Natal, Ponta Negra | |1
144|Apartamento para venda com 60 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 315.000|2 quartos|60m²|R$ 630|1 vaga|Natal, Ponta Negra | |1
145|Apartamento para venda com 51 m² com 3/4 em Capim Macio - Natal - RN|R$ 225.000|3 quartos|51m²|R$ 0|1 vaga|Natal, Capim Macio | |1
146|Apartamento para venda tem 48 metros quadrados com 2 quartos em Igapó - Natal - RN|R$ 85.000|2 quartos|48m²|R$ 100|1 vaga|Natal, Igapó | |1
147|Apartamento para venda com 102 metros quadrados com 3 quartos em Petrópolis - Natal - RN|R$ 365.000|3 quartos|102m²|R$ 1.200|2 vagas|Natal, Petrópolis | |2
148|apartamento para venda possui 240 metros quadrados com 3 quartos em Areia Preta - Natal - |R$ 2.000.000|3 quartos|240m²|R$ 2.500|4 vagas|Natal, Areia Preta | |4
149|Apartamento para venda com 142 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 750.000|3 quartos|142m²|R$ 1.000|3 vagas|Natal, Lagoa Nova | |3
150|Apartamento para venda com 58 metros quadrados com 2 quartos em Capim Macio - Natal - RN|R$ 330.000|2 quartos|58m²|R$ 300|1 vaga|Natal, Capim Macio | |1
